0:0:0:0:0:0:0:1 - - [06/Sep/2019:10:02:54 +0900] "GET /workshop_0906/index.html HTTP/1.1" 200 5663
0:0:0:0:0:0:0:1 - - [06/Sep/2019:10:03:06 +0900] "GET /workshop_0906/index.html HTTP/1.1" 200 5613
0:0:0:0:0:0:0:1 - - [06/Sep/2019:10:05:30 +0900] "GET /workshop_0906/index.html HTTP/1.1" 200 5652
0:0:0:0:0:0:0:1 - - [06/Sep/2019:10:05:30 +0900] "GET /workshop_0906/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2019:10:05:30 +0900] "GET /workshop_0906/img/movie_image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2019:10:05:30 +0900] "GET /workshop_0906/img/movie_image3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2019:10:05:30 +0900] "GET /workshop_0906/img/movie_image2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2019:10:05:30 +0900] "GET /workshop_0906/img/jackie.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2019:10:05:30 +0900] "GET /workshop_0906/img/jack.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2019:10:05:30 +0900] "GET /workshop_0906/img/angelina.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2019:10:05:30 +0900] "GET /workshop_0906/img/nav_background.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2019:10:05:30 +0900] "GET /workshop_0906/media/KungFuPanda_Sample.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2019:10:05:30 +0900] "GET /workshop_0906/img/intro_background.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2019:10:05:30 +0900] "GET /workshop_0906/img/sidebar_section_background.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2019:10:05:30 +0900] "GET /workshop_0906/img/sidebar_background.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2019:10:11:12 +0900] "GET /workshop_0906/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2019:10:11:12 +0900] "GET /workshop_0906/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2019:10:11:12 +0900] "GET /workshop_0906/img/movie_image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2019:10:11:12 +0900] "GET /workshop_0906/img/movie_image3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2019:10:11:12 +0900] "GET /workshop_0906/img/movie_image2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2019:10:11:12 +0900] "GET /workshop_0906/img/jack.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2019:10:11:12 +0900] "GET /workshop_0906/img/jackie.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2019:10:11:12 +0900] "GET /workshop_0906/img/angelina.jpg HTTP/1.1" 304 -
